"sku","nombre","descripcion","precio1","precio2","precio3","precio4","precio5","cantidad2","cantidad3","cantidad4","cantidad5","unidad_medida","CATEGORIA","ACTIVO"
"5069","CHOCOPALENCIA REDONDO 270_GR (3 PZ)","-",43.00,40.50,40.50,40.50,"",24.00,24.00,24.00,"","PQ","CHOCOLATES",1
"1138","CHOCOPALENCIA REDONDO 540_GR (6 PZ)","-",78.00,73.00,73.00,73.00,"",12.00,12.00,12.00,"","PQ","CHOCOLATES",1
"1315","CHURRITO DE MAIZ CHILE MABEEL","-",11.00,9.50,9.50,9.50,"",12.00,12.00,12.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"1316","CHURRITO DE MAIZ NAT MABEEL","-",11.00,9.50,9.50,9.50,"",12.00,12.00,12.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"3839","CHURROS ADOBO FRIDUKYS 1_KG","-",66.00,63.00,63.00,63.00,"",10.00,10.00,10.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"2966","CHURROS ADOBO FRIDUKYS GRANEL","-",72.00,72.00,72.00,72.00,"",1.00,1.00,1.00,"","KG","BOTANAS, DULCES Y FRITURAS",1
"3841","CHURROS HABANERO FRIDUKYS 1_KG","-",66.00,63.00,63.00,63.00,"",10.00,10.00,10.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"2965","CHURROS HABANERO FRIDUKYS GRANEL","-",72.00,72.00,72.00,72.00,"",1.00,1.00,1.00,"","KG","BOTANAS, DULCES Y FRITURAS",1
"3842","CHURROS QUESO FRIDUKYS 1_KG","-",66.00,63.00,63.00,63.00,"",10.00,10.00,10.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"2964","CHURROS QUESO FRIDUKYS GRANEL","-",72.00,72.00,72.00,72.00,"",1.00,1.00,1.00,"","KG","BOTANAS, DULCES Y FRITURAS",1
"3843","CHURROS SALADOS FRIDUKYS 1_KG","-",66.00,63.00,63.00,63.00,"",10.00,10.00,10.00,"","PQ","BOTANAS, DULCES Y FRITURAS",1
"2963","CHURROS SALADOS FRIDUKYS GRANEL","-",72.00,72.00,72.00,72.00,"",1.00,1.00,1.00,"","KG","BOTANAS, DULCES Y FRITURAS",1
"4638","CINTA CANELA JAI LIN TAPE 48X150","-",35.00,35.00,35.00,35.00,"",1.00,1.00,1.00,"","PZ","PAPELERIA",1
"4878","CINTA CANELA ROM FILM 48X150","-",35.00,35.00,35.00,35.00,"",1.00,1.00,1.00,"","PZ","PAPELERIA",1
